manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
,AX0000042881,Domino  Ax 150i Printer Serila No AX0000042881,Domino  Ax 150i Printer Serila No AX0000042881,SWADESHI INDUST,The Swadeshi Industrial Works Plc,,,,Mr.Rajitha
,AX0000042882,Domino  Ax 150i Printer Serila No AX0000042882,Domino  Ax 150i Printer Serila No AX0000042882,FALCON,Falcon Trading Pvt Ltd,,,,0
,AX0000042883,Domino  Ax 150i Printer Serila No AX0000042883,Domino  Ax 150i Printer Serila No AX0000042883,SPMC,State Pharmaceuticals Manufacturing Corp,,,,Mr.Shantha
,AX0000042884,Domino  Ax 150i Printer Serila No AX0000042884,Domino  Ax 150i Printer Serila No AX0000042884,SPMC,State Pharmaceuticals Manufacturing Corp,,,,Mr.Shantha
,AX0000042885,Domino  Ax 150i Printer Serila No AX0000042885,Domino  Ax 150i Printer Serila No AX0000042885,Siva,Sivanarul Pvt Ltd.,,,,Owner
,AX0000042889,Domino  Ax 150i Printer Serila No AX0000042889,Domino  Ax 150i Printer Serila No AX0000042889,SEWANAGALA,Sevanagala Ayurvedic Drugs Manufacture Pvt Ltd,,,,0
N2A31388,1,Domino A 200 Printer Serial Number N2A31388,Domino A 200 Printer Serial Number N2A31388,CEY FRESH TEA,Ceylon Fresh Tea Pvt Ltd,,,,0
,CSB/017751/CSP/H12020715,Domino  C Series  Printer Serila No CSB 017751 CSP H1020715,Domino  C Series  Printer Serila No CSB 017751 CSP H1020715,LIPTON,Unilever Lipton Ceylon Ltd,,,,0
,21619,Conveyor 1300 X 310 X 800,Conveyor 1300 X 310 X 800,CEY FRESH,Ceylon Fresh Seafood Pvt Ltd,,,,Mr. Edwerd
,21620,Conveyor 1500 X 480 X800,Conveyor 1500 X 480 X800,HAYLEYS AGRO,Hayleys Agro Farms(Pvt) Ltd,,,,0
,1,Conveyor 1300 X 750- 800mm,Conveyor 1300 X 750- 800mm,Siva,Sivanarul Pvt Ltd.,,,,Owner
,21037 -22/03/2022,Steel Fabricated Belt Conveyor Weighing System,Steel Fabricated Belt Conveyor Weighing System,LIPTON,Unilever Lipton Ceylon Ltd,,,,0
,CHT-QBJ500,Chocolate Holding Tank,Chocolate Holding Tank,PERK LANKA,Perk Lanka (Pvt) Ltd,,,,0
,CC-QYJ500,Chocolate Conche,Chocolate Conche,PERK LANKA,Perk Lanka (Pvt) Ltd,,,,0
,19071910-GRN#21799,HIGH CAPACITY DRYERS,HIGH CAPACITY DRYERS,98 ACTRS,98 Acres Resort &S Pa,,,,0
,801KWDJ6T250,Heavy Duty Washer F17VDAW,Heavy Duty Washer F17VDAW,98 ACTRS,98 Acres Resort &S Pa,,,,0
,21623,LINEN WASHERS 45 kg,LINEN WASHERS 45 kg,98 ACTRS,98 Acres Resort &S Pa,,,,0
,21623-1,LINEN WASHER 25KG,LINEN WASHER 25KG,HOTEL SOBANA,Hotel Sobana (Pvt) Ltd,,,,Managing Director
,21623,IRONING TABLES,IRONING TABLES,98 ACTRS,98 Acres Resort &S Pa,,,,0
,21623,LINEN DRYERS 23KG,LINEN DRYERS 23KG,HOTEL SOBANA,Hotel Sobana (Pvt) Ltd,,,,Managing Director
,GT4B3/FB4B3,Semi-auto can seamer,Semi-auto can seamer,CIBO FOODS,CIBO Foods,,,,0
,21596,Steam Heating Jacketed Kettle - 500L,Steam Heating Jacketed Kettle - 500L,SINHARAJA HELA,Sinharaja Hela Osu (Pvt) Ltd,,,,0
,21596-1,Steam Heating Jacketed Kettle - 500L,Steam Heating Jacketed Kettle - 500L,SINHARAJA HELA,Sinharaja Hela Osu (Pvt) Ltd,,,,0
,21596-2,Steam Heating Jacketed Kettle - 500L,Steam Heating Jacketed Kettle - 500L,SINHARAJA HELA,Sinharaja Hela Osu (Pvt) Ltd,,,,0
,21633,Steam Horizontal Retort Sterilizer,Steam Horizontal Retort Sterilizer,CIBO FOODS,CIBO Foods,,,,0
,2206124,Manual Feed Electrical Drilling & Tapping Machine,Manual Feed Electrical Drilling & Tapping Machine,MAS INTIMATES,Mas Intimates Pvt Ltd,,,,Mr Lakshitha
,2206123,Manual Feed Electrical Drilling & Tapping Machine,Manual Feed Electrical Drilling & Tapping Machine,MAS INTIMATES,Mas Intimates Pvt Ltd,,,,Mr Lakshitha
,43,Water Chiller,Water Chiller,PHOENIX,Phoenix Industries Ltd,,,,0
,21220,Copra Dryer,Copra Dryer,EAST WEST MAR,East West Marketing (Pvt) Ltd,,,,0
,21139-01/04/2022,B type Screw machine with standard spare parts,B type Screw machine with standard spare parts,EBCC,E. B. Creasy & Company Plc,,,,Mr. Nalin
201315025008833,201315025008833,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
202117025066932,202117025066932,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201616025034427,201616025034427,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
201516025002004,201516025002004,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
202117025067343,202117025067343,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
201507100030640,201507100030640,Injection Moulding Machine,Injection Moulding Machine,,Jeewa Plastics Pvt Ltd,,,,0
201207012033322,201207012033322,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201307012030058,201307012030058,Injection Moulding Machine,Injection Moulding Machine,,Sierra Cables Plc,,,,0
201307012033544,201307012033544,Injection Moulding Machine,Injection Moulding Machine,,Jeewa Plastics Pvt Ltd,,,,0
201307016030089,201307016030089,Injection Moulding Machine,Injection Moulding Machine,,Sierra Cables Plc,,,,0
201607016030858,201607016030858,Injection Moulding Machine,Injection Moulding Machine,,Micro Electric International Pvt Ltd,,,,0
201707016036878,201707016036878,Injection Moulding Machine,Injection Moulding Machine,,Jeewa Plastics Pvt Ltd,,,,0
201207020033614,201207020033614,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201307020030130,201307020030130,Injection Moulding Machine,Injection Moulding Machine,,Sierra Cables Plc,,,,0
201607020030980,201607020030980,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
201507020032295,201507020032295,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
201807020051432,201807020051432,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
201307025030690,201307025030690,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201207025033650,201207025033650,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201307025030692,201307025030692,Injection Moulding Machine,Injection Moulding Machine,,E. B. Creasy & Company Plc,,,,Mr Prabath
201307025033286,201307025033286,Injection Moulding Machine,Injection Moulding Machine,,Jeewa Plastics Pvt Ltd,,,,0
201307038030233,201307038030233,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201207038033709,201207038033709,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201407038033254,201407038033254,Injection Moulding Machine,Injection Moulding Machine,,Jeewa Plastics Pvt Ltd,,,,0
201207047033424,201207047033424,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
202107053062806,202107053062806,Injection Moulding Machine,Injection Moulding Machine,,Jeewa Plastics Pvt Ltd,,,,0
201607008630560,201607008630560,Injection Moulding Machine,Injection Moulding Machine,,Micro Electric International Pvt Ltd,,,,0
201207009033297,201207009033297,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201507016032496,201507016032496,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
20160725034425,20160725034425,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
2015070360032880,2015070360032880,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201607045034426,201607045034426,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
201507065035388,201507065035388,Injection Moulding Machine,Injection Moulding Machine,,Ruby Plastics Pvt Ltd,,,,0
20080702002545,20080702002545,Injection Moulding Machine  - 20080702002545,Injection Moulding Machine  - 20080702002545,,A J Technics Pvt Ltd,,,,0
,21616,HASS CNC Toolroom Lathe,HASS CNC Toolroom Lathe,RAJARATA UNI,Rajarata University of Sri Lanka,,,,0
,45,6YZ-150 Hydraulic Oil Press Machine,6YZ-150 Hydraulic Oil Press Machine,PURECINNAMON,PURECINNAMON EXPORT (PVT) LTD,,,,Manager Engineering
,52,Liquid Filling Machine,Liquid Filling Machine,AGRO PIL,Agro Properties & Investments Ltd,,,,0
,46,Main Piston Teflon Seal,Main Piston Teflon Seal,UNICL,Unilevers Sri Lanka Ltd,,,,0
,47,Main Piston Teflon Seal,Main Piston Teflon Seal,MJF BEVERAGES,Mjf Beverages Pvt Ltd,,,,0
,48,Main Piston Teflon Seal,Main Piston Teflon Seal,MJF BEVERAGES,Mjf Beverages Pvt Ltd,,,,0
,49,Main Piston Teflon Seal,Main Piston Teflon Seal,MJF BEVERAGES,Mjf Beverages Pvt Ltd,,,,0
,50,Main Piston Teflon Seal,Main Piston Teflon Seal,MJF BEVERAGES,Mjf Beverages Pvt Ltd,,,,0
,21689,Semi Automaticd Liquid Filling Machine,Semi Automaticd Liquid Filling Machine,LIPTON,Unilever Lipton Ceylon Ltd,,,,Mr.Bandaranaike
,21330,Double Nozzle Paste Filling Machine,Double Nozzle Paste Filling Machine,JANRICH,Janrich Foods Limited,,,,0
166,166,Semi Automatic Lug Capper,Semi Automatic Lug Capper,CBL NATURAL,Cbl Natural Foods Pvt Ltd,,,,0
